engine,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp
tidesdb,GET,2446119.33,2.044,2.95,5.17,175.12,3.00,5.00,7.00,0.00,1742.00,850.60,1112.66,2.96,0.00,14.651,1.721,521.4,43.70,0.00,0.01,0.00
tidesdb,ITER,6770572.38,0.738,0,0,0,0,0,0,0,0,850.60,1112.66,2.96,0.00,14.651,1.721,521.4,43.70,0.00,0.01,0.00
rocksdb,GET,1619129.56,3.088,4.68,7.23,154.41,4.00,9.00,15.00,1.00,1341.00,203.68,1302.38,42.07,0.00,21.822,2.374,521.1,52.78,0.00,0.08,0.00
rocksdb,ITER,4289842.34,1.166,0,0,0,0,0,0,0,0,203.68,1302.38,42.07,0.00,21.822,2.374,521.1,52.78,0.00,0.08,0.00
rocksdb,GET,1661468.49,3.009,4.60,7.27,158.04,4.00,9.00,15.00,1.00,4026.00,212.14,1302.47,41.63,0.00,21.845,2.157,503.2,52.93,0.00,0.08,0.00
rocksdb,ITER,3655240.63,1.368,0,0,0,0,0,0,0,0,212.14,1302.47,41.63,0.00,21.845,2.157,503.2,52.93,0.00,0.08,0.00
rocksdb,GET,1447479.65,3.454,5.20,15.57,299.17,4.00,10.00,16.00,1.00,6951.00,211.43,1302.57,41.71,0.00,23.847,2.476,529.8,53.05,0.00,0.08,0.00
rocksdb,ITER,4431653.71,1.128,0,0,0,0,0,0,0,0,211.43,1302.57,41.71,0.00,23.847,2.476,529.8,53.05,0.00,0.08,0.00
tidesdb,GET,4241396.54,1.179,1.70,6.45,378.92,1.00,3.00,4.00,0.00,6083.00,843.67,1112.77,27.36,0.00,8.321,1.761,451.8,55.31,0.00,0.05,0.00
tidesdb,ITER,6984186.41,0.716,0,0,0,0,0,0,0,0,843.67,1112.77,27.36,0.00,8.321,1.761,451.8,55.31,0.00,0.05,0.00
